#   npix      mod  mod_pix          X(foc)         Y(foc)          theta             phi        omt(foc)        omt(ffr)
       0        0        0   -2.7421580400    5.739897383    0.727538428 -154.4075249763    0.0000000000   -0.0501822497 
       1        0        1   -1.7415423690    0.531068872    0.207826212 -106.1746015074    0.0000000000   -0.0304676580 
       2        0        2    2.6323899780    0.471398569    0.306011575   99.6294455681    0.0000000000    0.0460283281 
       3        0        3    2.6925732680    3.922322073    0.543364151  145.3938279258    0.0000000000    0.0485181943 
       4        0        4   -0.5501436550    5.705120224    0.654949893 -174.4756574309    0.0000000000   -0.0100648525 
       5        0        5   -0.6201936170    2.244082068    0.264038287 -164.3829274852    0.0000000000   -0.0110144729 
       6        0        6    0.5105404300    3.957214550    0.454774402  172.6076137158    0.0000000000    0.0092023451 
       7        0        7    1.5717058920    2.219304243    0.309371178  144.3903930580    0.0000000000    0.0279070271 
       8        0        8   -1.6814739550    3.991991710    0.494201916 -157.0487138377    0.0000000000   -0.0303170977 
       9        0        9    1.6318891820    5.670227747    0.674428822  163.9000796782    0.0000000000    0.0298465069 
      10        0       10    3.7537387300    2.184411766    0.496537292  119.9536157414    0.0000000000    0.0666303584 
      11        0       11    0.4403755930    0.506175729    0.074604767  137.4273153635    0.0000000000    0.0077025256 
      12        0       12    3.8233073140    5.635454555    0.779259916  145.7848869899    0.0000000000    0.0699056579 
      13        0       13   -2.8022264540    2.278974545    0.412306876 -128.8360790085    0.0000000000   -0.0497817630 
